original,original_level,baseline_simplified,baseline_sim_score,baseline_level,freq_simplified,freq_similarity,freq_level,bert_simplified,bert_similarity,bert_level
Global warming is expected to cause more frequent extreme weather events around the world.,B1,World warming is looked to cause more frequent extreme weather cases around the world.,0.889275074,B1,Global cooling is expected to cause more frequent extreme weather events around the world .,0.858,B1,Global cooling is anticipated to cause more regular severe weather events around the world .,0.802,B1
Renewable energy sources are becoming increasingly vital for sustainable economic growth.,B2,Renewable energy authors are going progressively lively for sustainable economic growing.,0.698704123,C1,solar energy sources are becoming increasingly crucial for healthy economic growth .,0.807,B2,solar energy sources are becoming increasingly vital for sustainable economic growth .,0.859,B2
The healthcare system must adapt rapidly to meet the needs of an aging population.,A2,The healthcare system must adjust quickly to meet the needs of an aging universe.,0.88515389,A2,The medical system must adjust rapidly to meet the needs of an aged population .,0.866,B1,The medical system must adjust rapidly to meet the needs of an aged population .,0.866,B1
He explained the concept of blockchain technology during the seminar with impressive clarity.,B1,He explained the concept of blockchain technology during the seminar with telling clearness.,0.937647104,B1,He explained the concept of the technology during the lecture with remarkable simplicity .,0.599,B1,He explained the idea of the technology during the lecture with remarkable simplicity .,0.593,B1
New developments in biotechnology present both remarkable opportunities and ethical dilemmas.,C1,New growths in biotechnology present both singular chances and ethical dilemmas.,0.87899369,C1,New innovations in science present both extraordinary possibilities and moral dilemma .,0.662,C1,New developments in science present both extraordinary possibilities and moral dilemma .,0.655,C1
International cooperation is essential to address global environmental challenges effectively.,C1,International cooperation is essential to deal world environmental challenges effectively.,0.980733037,C1,International collaboration is vital to address global environmental challenge effectively .,0.875,B2,national collaboration is vital to address global environmental challenge successfully .,0.793,B2
The popularity of remote work has transformed traditional office dynamics dramatically.,B2,The popularity of outside work has translated traditional part dynamics dramatically.,0.587545633,B2,The popularity of satellite work has changed traditional office relationships significantly .,0.78,B1,The rise of satellite work has changed modern office relationships dramatically .,0.736,B1
Many governments are struggling to regulate social media platforms appropriately.,B1,Many governments are fighting to order social media programs suitably.,0.76350987,B1,Many government are trying to govern social media systems properly .,0.847,B1,Many governments are trying to govern social media systems properly .,0.858,B1
Researchers conducted a longitudinal study to observe changes in dietary habits over decades.,B2,Researchers took a longitudinal study to find changes in dietary habits over tens.,0.878732145,B1,scientists conducted a large study to see changes in diet behaviors over years .,0.83,A2,scientists performed a large studies to see changes in diet behaviors over years .,0.823,A2
The increased use of automation is reshaping the manufacturing industry worldwide.,B2,The increased use of automation is reshaping the manufacturing industry worldwide.,1,B2,The increased use of robotics is shaping the manufacturing industry globally .,0.731,B1,The increased usage the robotics is shaping the construction industries globally .,0.6,B1
Education systems must evolve to prepare students for careers that don't yet exist.,A2,Training systems must evolve to set scholars for callings that don't yet exist.,0.588756859,B1,Education systems must grow to prepare students for jobs that do n't yet exist .,0.825,A1,school systems must grow to prepared students for careers that do n't yet exist .,0.859,A2
"Artificial intelligence promises great benefits,  but it also raises serious ethical concerns.",C1,"Hokey news calls great welfare, but it also raises serious ethical businesses.",0.494642794,B2,"synthetic intelligence delivers great advantages , but it also raise serious moral concern .",0.788,C1,"synthetic intelligence promises great benefits , but it also raises serious moral concerns .",0.839,C2
Media literacy programs are crucial in helping people critically evaluate information sources.,B1,Medium literacy plans are important in helping people critically value data authors.,0.66381973,A2,Media education programs are vital in helping people and assess information sources .,0.836,B1,Media education programs are vital in helping people and assess data sources .,0.808,A2
The expansion of urban areas has contributed to the loss of biodiversity globally.,B1,The enlargement of urban areas has led to the red of biodiversity globally.,0.797145307,B2,The expansion of urban areas has contributed to the loss of ecology worldwide .,0.899,B1,The growth of metropolitan areas has contributing to the loss of ecology worldwide .,0.782,B2
He argued convincingly that public transportation reduces both congestion and pollution in cities.,C1,He debated convincingly that public transfer reduces both congestion and pollution in cities.,0.901649833,C1,He argued that that public transportation increases both traffic and poverty in cities .,0.806,B1,He argues that that public transport reduces both traffic and poverty in cities .,0.812,B2
Philosophers continue to debate whether free will truly exists within a deterministic universe.,C1,Philosophers cover to argue whether free will truly exists within a deterministic universe.,0.957303941,C1,theologians continue to debate whether free will truly exist within a finite world .,0.747,B2,Philosophers continue to debate whether free will truly exist within a finite world .,0.884,B2
The epistemological implications of scientific discovery challenge traditional notions of objective truth.,C1,The epistemological significances of scientific find challenge traditional opinions of documentary truth.,0.76158911,C1,The philosophical consequences of scientific discovery challenges traditional ideas of subjective truth .,0.817,C2,The philosophical consequences of science discoveries challenge traditional notions of subjective truth .,0.765,C2
"Postmodern thinkers often reject the idea of a single,  universal narrative governing human experience.",C1,"Postmodern minds often reject the idea of a single, worldwide narrative ordering human experience.",0.904804826,B2,"modernist philosophers often rejected the idea of a single , universal discourse the human experience .",0.687,C2,"modernist thinkers often reject the idea of a single , common discourse the human experience .",0.701,C1
Her thesis examines the ethical ramifications of using artificial intelligence in judicial systems.,C1,Her thesis sees the ethical branches of using hokey news in judicial systems.,0.706109881,C1,Her dissertation explores the moral implications of using natural intelligence in political systems .,0.635,B2,Her dissertation explores the moral implications of using natural intelligence in political systems .,0.635,B2
The phenomenological approach to consciousness emphasizes subjective experience over objective observation.,C2,The phenomenological attack to consciousness emphasizes immanent experience over documentary notice.,0.798064232,C2,The empirical approach to mind emphasized personal experience over subjective observations .,0.63,C1,The empirical approach to mind emphasizes personal experiences over subjective observations .,0.625,C1
The dissertation critiques essentialist assumptions about national identity in contemporary political discourse.,C2,The thesis reviews essentialist assumptions about home identity in contemporary political treatment.,0.676719189,C1,The thesis reviews cultural assumption about national identity in contemporary political discussion .,0.827,C1,The thesis reviews cultural assumption about local identities in modern social discussion .,0.539,B2
Existentialism posits that individuals are responsible for creating meaning in an indifferent universe.,C2,Existentialism postulates that persons are responsible for making meaning in an neutral universe.,0.899404168,C2,philosophy argues that individuals are responsible for creating meaning in an uncertain cosmos .,0.698,C1,philosophy posits that individuals were responsibility for creating life in an uncertain cosmos .,0.599,B2
Cultural relativism suggests that moral values are not absolute but rather context-dependent.,C2,Ethnic relativism hints that moral values are not rank but instead context-dependent.,0.877426267,C1,Cultural liberalism suggests that moral values are not universal but rather implicit .,0.799,C2,social liberalism suggests that ethical values are not universal but rather implicit .,0.667,C2
The author interrogates the ontological foundations of selfhood in postcolonial theory.,C2,The author questions the ontological bases of selfhood in postcolonial theory.,0.975514352,C1,The author examines the metaphysical foundation of identity in literary theory .,0.539,C1,The author examines the metaphysical foundation of identity in literary theory .,0.539,C1
Contemporary debates about transhumanism reflect deep anxieties regarding human enhancement technologies.,C1,Contemporary debates about transhumanism shine deep anxieties seeing human sweetening engineering.,0.767668247,C1,Contemporary discussions about immortality reflects deep fears regarding human enhanced technology .,0.613,C1,Contemporary debates about immortality reflect deep fears concerning human enhanced technology .,0.623,C1
The treatise advances a nuanced understanding of intersubjectivity within social phenomenology.,C2,The treatise wins a nuanced agreement of intersubjectivity within social phenomenology.,0.968842387,C2,The book has a sophisticated understanding of consciousness within social phenomena .,0.541,C1,The book has a sophisticated explanation of consciousness within social phenomena .,0.533,C1
Recent developments in quantum mechanics raise fundamental questions about the nature of reality itself.,C1,Late growths in quantum mechanics raise central heads about the nature of world itself.,0.51878345,B2,Recent innovations in molecular physics raise basic questions about the nature of reality itself .,0.709,C1,several innovations in molecular mechanics raised basic questions about the nature of reality . .,0.666,C1
The philosophical debate between empiricism and rationalism remains unresolved in modern epistemology.,C2,The philosophical argument between empiricism and rationalism rests open in modern epistemology.,0.928978801,C2,The metaphysical debate between science and science remains ongoing in modern theology .,0.461,C1,The metaphysical debate between science and science remains unresolved in modern theology .,0.491,C1
"Her research examines the intersections between language, power, and ideology in media texts.",B2,"Her inquiry sees the products between language, power, and ideology in media texts.",0.873987198,B1,"Her research explores the intersection between language , power , and politics in media content .",0.904,B1,"Her research explores the intersection in language , power , and politics of public content .",0.815,B1
The discourse around algorithmic bias highlights structural inequalities embedded in technological systems.,C2,The treatment around algorithmic bias highlights morphologic inequalities planted in technical systems.,0.893673658,C1,The conversation around computational discrimination discusses economic inequality visible in technical systems .,0.68,C1,The conversation around computational discrimination discusses economic inequality visible in technical systems .,0.68,C1
