word,level,encoded_level
clearly,A2,1
clearness,B2,3
clench,C1,4
clerical,B2,3
clerk,A2,1
clever,A1,0
cleverness,C1,4
click,B1,2
client,B2,3
cliff,B1,2
climactic,C1,4
climate,B1,2
climate change,B2,3
climax,C1,4
climb,A2,1
climber,B1,2
climbing,A2,1
clinch,C2,5
clinic,B1,2
clinical,C1,4
clip,B1,2
cloak,C1,4
clock,A1,0
clog,B2,3
cloister,C2,5
cloistered,C2,5
clone,A2,1
close,A1,0
closed,A1,0
closely,B1,2
closeness,C1,4
closing,B2,3
closure,B2,3
cloth,A1,0
clothes,A1,0
clothing,B2,3
cloud,A1,0
cloudy,A1,0
clown,A2,1
club,A1,0
clue,A2,1
clumsy,B2,3
cluster,B2,3
clutch,C1,4
clutter,C1,4
coach,B2,3
coaching,B2,3
coal,B1,2
coalition,B2,3
coarse,B2,3
coast,B1,2
coastal,B1,2
coastline,B2,3
coat,A1,0
coax,C2,5
cock,C2,5
cocktail,B2,3
cocoa,B2,3
coconut,B2,3
cocoon,C2,5
cod,B1,2
code,A1,0
coffee,A1,0
coffin,B1,2
cogent,C2,5
cogently,C2,5
cognitive,C2,5
coherence,B2,3
coherent,B2,3
coin,A2,1
coincide,B2,3
coincidence,B2,3
coke,A1,0
cola,A2,1
cold,A1,0
collaborate,C1,4
collaboration,C1,4
collaborative,C1,4
collaborator,C1,4
collapse,B2,3
collar,B1,2
colleague,B2,3
collect,A1,0
collection,A1,0
collective,B2,3
collector,B2,3
college,A1,0
collide,C2,5
collider,C2,5
collision,C1,4
collocation,B2,3
colloquial,C2,5
colloquially,C2,5
colloquium,C2,5
colon,B2,3
colonel,C1,4
colonial,B2,3
colony,B2,3
color,A1,0
colorful,C1,4
colour,A1,0
coloured,B2,3
colourful,C1,4
column,A2,1
columnist,B1,2
coma,B2,3
comb,B2,3
combat,C1,4
combination,B1,2
combine,B1,2
combined,B2,3
combustion,C2,5
come,A1,0
come across,C2,5
come back,C2,5
come from,A1,0
come in,A1,0
come on,C2,5
come out,C2,5
come round,C2,5
come to,A1,0
come true,C2,5
come up,C2,5
comedian,B1,2
comedy,B1,2
comet,B1,2
comfort,B1,2
comfortable,A2,1
comfortably,B2,3
comic,A2,1
coming,B2,3
comma,B1,2
command,B1,2
commander,B2,3
commemorate,B2,3
commence,B2,3
commend,C1,4
commendation,C1,4
commensurate,C2,5
commensurately,C2,5
comment,B2,3
commentary,C1,4
commentator,C1,4
commerce,B2,3
commercial,B2,3
commercially,C1,4
commission,C2,5
commissioner,B2,3
commit,B1,2
commitment,A2,1
committed,C2,5
committee,A2,1
commode,C2,5
commodity,C2,5
common,A2,1
common sense,B1,2
commonly,B1,2
commonwealth,B2,3
communicate,A2,1
communication,A2,1
communicative,B2,3
communism,C1,4
communist,B1,2
community,B2,3
commute,B2,3
compact,C1,4
companion,B1,2
company,A2,1
comparable,B2,3
comparative,A2,1
comparatively,C1,4
compare,A2,1
comparison,B1,2
compartment,C1,4
compassion,B2,3
compassionate,B2,3
compatible,B2,3
compatriot,C2,5
compel,C1,4
compelling,C2,5
compellingly,C2,5
compensate,B2,3
compensation,B2,3
compete,B1,2
competence,B2,3
competent,B2,3
competition,A2,1
competitive,B1,2
competitiveness,C2,5
competitor,B1,2
compilation,C2,5
compile,B2,3
complain,A2,1
complaint,A2,1
complement,B1,2
complementary,C1,4
complete,B1,2
completely,B1,2
completion,B2,3
complex,B1,2
complexion,B2,3
complexity,C1,4
compliance,C1,4
compliant,C1,4
compliantly,C1,4
complicate,B1,2
complicated,B1,2
complication,C1,4
compliment,B1,2
complimentary,C1,4
comply,C1,4
component,B2,3
compose,B1,2
composed,C2,5
composer,A2,1
composition,B1,2
compound,B1,2
comprehend,C2,5
comprehension,B2,3
comprehensive,B2,3
compress,B2,3
compression,B2,3
comprise,C1,4
compromise,B2,3
compromised,C1,4
compulsion,C1,4
compulsory,B2,3
compute,B2,3
computer,A1,0
computerize,C2,5
computerise,C2,5
computing,C1,4
comrade,C2,5
con,C1,4
conceal,B2,3
concede,B2,3
conceit,B2,3
conceivable,C1,4
conceive,C1,4
concentrate,A2,1
concentration,B1,2
concept,B1,2
conception,B2,3
concern,B2,3
concerned,B1,2
concerning,B2,3
concert,A1,0
concerto,C1,4
concession,B2,3
conciliation,C2,5
conciliatory,C2,5
conclude,B1,2
conclusion,B1,2
concrete,B2,3
concur,C1,4
concurrence,C2,5
condemn,B2,3
condemnation,C1,4
condensation,C2,5
condition,C1,4
conditional,C1,4
conditionally,C1,4
condone,C2,5
conduct,B2,3
conductor,B2,3
conduit,C2,5
cone,B2,3
confabulate,C2,5
confabulation,C2,5
confection,C2,5
conference,B2,3
conferencing,B2,3
confess,B2,3
confession,B2,3
confide,C1,4
confidence,B1,2
confident,A2,1
confidential,C1,4
confidentiality,C2,5
confidently,B2,3
configuration,C1,4
configure,C2,5
confine,B2,3
confinement,C1,4
confirm,B1,2
confirmation,B1,2
confiscation,C2,5
conflict,B1,2
conform,C1,4
conformity,C1,4
confront,B2,3
confrontation,C1,4
confrontational,C2,5
confrontationally,C2,5
confuse,A2,1
confused,A2,1
confusing,B1,2
confusion,B1,2
conglomerate,C2,5
congratulate,B1,2
congratulation,C2,5
congratulations,C2,5
congregate,C1,4
congregation,C1,4
congress,A2,1
conjecture,C2,5
conjunction,B2,3
conjure,C1,4
connect,B1,2
connected,C2,5
connection,A1,0
connexion,B1,2
connoisseur,C1,4
connotation,C2,5
connote,C2,5
conquer,B1,2
conquest,B2,3
conscience,B2,3
conscientious,C1,4
conscientiously,C1,4
conscious,B1,2
consciously,C2,5
consciousness,B2,3
consecutive,C1,4
consensus,B2,3
consent,B2,3
consequence,A2,1
consequently,B1,2
conservation,B1,2
conservative,B1,2
conservatory,C1,4
conserve,C1,4
consider,A2,1
considerable,B1,2
considerably,B2,3
consideration,B1,2
considering,B2,3
consign,C2,5
consignment,C2,5
consist,A2,1
consistency,C1,4
consistent,B2,3
consistently,B2,3
consolation,B2,3
console,B2,3
consolidate,C1,4
consonant,B1,2
conspiracy,C1,4
constant,B2,3
constantly,B1,2
consternation,C2,5
constituency,B1,2
constitute,B1,2
constitution,B1,2
constitutional,B1,2
constrained,C2,5
constraint,C1,4
construct,B1,2
construction,B1,2
constructive,C1,4
consul,B1,2
consult,B2,3
consultancy,C1,4
consultant,B2,3
consultation,C1,4
consume,B1,2
consumer,B1,2
consumption,B1,2
contact,A2,1
contagion,C2,5
contain,B1,2
container,A2,1
contaminate,B2,3
contamination,C2,5
contemplate,B2,3
contemporary,B2,3
contempt,B2,3
contemptuous,C2,5
contemptuously,C2,5
content,B2,3
contest,C1,4
contested,C1,4
context,A2,1
contextual,C2,5
contextually,C2,5
continent,A2,1
continual,B1,2
continually,B1,2
continuation,C1,4
continue,A2,1
continued,B2,3
continuity,C1,4
continuous,B1,2
continuously,B1,2
contract,C1,4
contractor,C1,4
contractual,C2,5
contractually,C2,5
contradict,B2,3
contradiction,B2,3
contradictory,B2,3
contraption,C2,5
contrary,B1,2
contrast,A2,1
contribute,B1,2
contribution,B1,2
contributor,C1,4
contrive,C2,5
control,B1,2
controller,C1,4
controversial,B1,2
controversy,B2,3
convene,C2,5
convenience,A2,1
convenient,A2,1
conveniently,B2,3
convention,B2,3
conventional,B2,3
conversation,A1,0
converse,C2,5
conversely,B2,3
conversion,B2,3
convert,B2,3
convey,B1,2
convict,C1,4
conviction,C1,4
convince,B1,2
convinced,B2,3
convincing,C1,4
convoluted,C1,4
cook,A1,0
cooker,A2,1
cookie,A1,0
cooking,A2,1
cool,B2,3
cooler,A2,1
cooperate,B2,3
cooperation,B2,3
cooperative,B2,3
coordinate,B2,3
coordination,C1,4
coordinator,C1,4
cop,A1,0
cope,B2,3
copper,B2,3
copy,A2,1
copyright,B1,2
coral,B2,3
cord,B2,3
cordial,C2,5
cordon,C2,5
core,B2,3
cork,C2,5
corn,A1,0
corner,A1,0
cornerstone,B2,3
cornet,B2,3
corona,B2,3
corporal,B2,3
corporate,B2,3
corporation,B2,3
corps,C1,4
corpse,C2,5
corpus,C2,5
correct,B2,3
correction,B1,2
correctly,A2,1
correctness,B2,3
correlate,C2,5
correlation,C2,5
correspond,B2,3
correspondence,B2,3
correspondent,B2,3
corresponding,B2,3
correspondingly,C2,5
corridor,B2,3
corrupt,B2,3
corruption,B2,3
cosmic,C2,5
cosset,C2,5
cost,A2,1
cost-effective,C1,4
costly,B2,3
costume,B2,3
cosy,C2,5
cottage,B2,3
cotton,B1,2
couch,A1,0
cough,B2,3
could,A1,0
council,B1,2
councillor,B1,2
counsel,C2,5
counseling,B2,3
counselling,B2,3
count,B1,2
counter,B2,3
counteract,C2,5
counterpart,B2,3
counterproductive,C2,5
counterproductively,C2,5
countless,B1,2
country,A2,1
countryman,B2,3
countryside,A2,1
countrywide,B2,3
county,B1,2
coup,C1,4
couple,A2,1
coupled,C1,4
courage,B1,2
courageous,B1,2
courgette,B1,2
course,A1,0
coursework,C2,5
court,A2,1
courtesy,B2,3
courtyard,C1,4
cousin,A1,0
cover,A2,1
coverage,C1,4
cow,A1,0
coward,B2,3
cowardly,B2,3
cosiness,B2,3
coziness,B2,3
cozy,B2,3
crab,B2,3
crack,B2,3
craft,C1,4
craftsman,B2,3
crap,C2,5
crash,B1,2
crater,B2,3
crave,C1,4
craving,C1,4
crawl,B2,3
crazy,A2,1
cream,A2,1
creamy,C1,4
crease,B2,3
create,A2,1
creation,B2,3
creative,A2,1
creatively,B2,3
creativity,A2,1
creator,B1,2
creature,A2,1
credential,C1,4
credibility,C1,4
credible,C1,4
credibly,C1,4
credit,A2,1
credit card,A1,0
creek,B2,3
creep,B2,3
creepy,B2,3
crew,B2,3
cricket,A2,1
crime,A2,1
criminal,B2,3
criminality,C2,5
cripple,B2,3
crippling,C2,5
crisis,B1,2
crisp,A2,1
crisps,A2,1
criteria,C1,4
criterion,A2,1
critic,B1,2
critical,B1,2
critically,B2,3
criticise,B2,3
criticism,B2,3
criticize,A2,1
critique,C1,4
crocodile,B2,3
crony,C2,5
crooked,C2,5
crop,B1,2
cross,A2,1
crossing,B1,2
crossly,B2,3
crossroads,B1,2
crow,B1,2
crowd,A2,1
crowded,A2,1
crown,A2,1
crucial,B2,3
crude,C1,4
crudely,C1,4
cruel,B1,2
cruelly,B2,3
cruelty,B2,3
cruise,B2,3
crumb,C1,4
crumble,C1,4
crush,B1,2
crust,B1,2
cry,A2,1
crystal,B2,3
crystallisation,C2,5
crystallization,C2,5
crystallise,C2,5
crystallize,C2,5
cuba,B2,3
cube,B2,3
cubism,B2,3
cucumber,B1,2
cue,C2,5
cuff,B2,3
culinary,C2,5
cull,C2,5
culminate,C2,5
culmination,B2,3
culprit,C2,5
cult,C1,4
cultish,C2,5
cultivate,B1,2
cultivation,C2,5
cultural,B1,2
culturally,B2,3
culture,A1,0
cunning,C2,5
cunt,C1,4
cup,A1,0
cupboard,A2,1
curate,C2,5
curator,C2,5
cure,B2,3
curiosity,B1,2
curious,B1,2
curiously,B1,2
curl,B2,3
curly,B1,2
currency,B1,2
current,B1,2
currently,B1,2
curriculum,C2,5
curry,A2,1
curse,A2,1
cursor,B2,3
curtain,B1,2
curve,B1,2
cushion,B1,2
custard,B2,3
custody,B2,3
custom,A2,1
customary,C1,4
customer,A2,1
customs,B1,2
cut,B1,2
cut off,C2,5
cut up,B1,2
cute,A1,0
cutting,C1,4
cv,B1,2
cyberaddict,B2,3
cybercafe,B2,3
cybercafé,B2,3
cybercrime,B2,3
cyberpet,B2,3
cyberschool,B2,3
cyberspace,B2,3
cycle,B1,2
cycling,A2,1
cyclist,B2,3
cylinder,B2,3
cynic,C1,4
cynical,C2,5
cynically,C1,4
cynicism,C1,4
czech,B2,3
dad,A1,0
daddy,A1,0
daft,B2,3
daily,A2,1
dairy,C1,4
daisy,B1,2
dam,A2,1
damage,B1,2
damaged,B1,2
damn,B2,3
damp,B1,2
dampen,C2,5
damply,C1,4
dance,A1,0
dancer,A2,1
dancing,A1,0
dandelion,B2,3
danger,A2,1
dangerous,A2,1
dangerously,B1,2
danish,B2,3
dare,B1,2
dark,A1,0
darkness,B1,2
darkroom,C1,4
darling,B2,3
darts,C1,4
dash,B2,3
data,B2,3
database,B2,3
date,B1,2
dated,B2,3
dating,B1,2
daughter,A1,0
daughter-in-law,B2,3
daunt,C2,5
daunting,C2,5
dawn,B2,3
day,A1,0
daydream,C1,4
daylight,A2,1
daytime,B2,3
daze,B1,2
dazzle,B1,2
de facto,B2,3
dead,A2,1
deaden,C2,5
deadline,B1,2
deadly,B1,2
deaf,B1,2
deal,B1,2
dealer,B1,2
dealings,C2,5
dean,C1,4
dear,B2,3
dearly,B2,3
death,A2,1
debate,A2,1
debit,B2,3
debit card,B2,3
debris,B1,2
debt,B1,2
debut,C1,4
decade,B2,3
decay,B2,3
deceit,C1,4
deceive,B2,3
december,A1,0
decent,B2,3
decentralize,C2,5
decentralise,C2,5
deceptive,B2,3
decide,A2,1
decision,B1,2
decisive,B2,3
deck,B2,3
declaration,B1,2
declare,B1,2
declination,C2,5
decline,B2,3
decomposition,B2,3
decorate,B2,3
decoration,B2,3
decorative,B2,3
decrease,B1,2
decree,C1,4
dedicate,B1,2
dedicated,C2,5
dedication,B2,3
deduce,B2,3
deduction,B2,3
deed,B1,2
deem,B2,3
deep,B2,3
deepen,C2,5
deeply,A2,1
deer,B2,3
default,C1,4
defeat,B2,3
defect,B2,3
defence,A1,0
defend,B1,2
defendant,B2,3
defender,B1,2
defense,B1,2
defensive,B2,3
deficiency,B1,2
deficient,C2,5
deficiently,C2,5
deficit,C2,5
define,B1,2
definite,B1,2
definite article,B1,2
definitely,B1,2
definition,B1,2
definitive,C2,5
deforestation,B2,3
defy,B2,3
degradation,C1,4
degrade,C1,4
degrading,C1,4
degree,A2,1
dehumanize,B2,3
dehumanise,B2,3
deity,C2,5
delay,B1,2
delegate,B2,3
delegation,C1,4
delete,B1,2
deliberate,C2,5
deliberately,B2,3
deliberation,C2,5
delicacy,B2,3
delicate,B1,2
delicately,B2,3
delicatessen,C2,5
delicious,A1,0
delight,B2,3
delighted,B1,2
delightful,B1,2
deliver,B1,2
delivery,B1,2
demand,B1,2
demanding,B2,3
demise,C1,4
demo,C1,4
democracy,B1,2
democrat,C1,4
democratic,B1,2
demographic,C1,4
demographically,C1,4
demography,C1,4
demolish,B2,3
demolition,C1,4
demonstrate,B1,2
demonstration,B1,2
demonstrator,C1,4
demystification,C2,5
demystify,C2,5
denial,C1,4
denim,B2,3
denmark,B1,2
denominate,C2,5
denotation,C2,5
denote,C2,5
denounce,C2,5
dense,B2,3
densely,B2,3
density,B2,3
dental,B2,3
dentist,A2,1
denunciation,C2,5
deny,B1,2
depart,B1,2
department,B1,2
department store,A2,1
departure,B1,2
depend,A2,1
dependable,B2,3
dependence,C1,4
dependencenoun,C2,5
dependent,C1,4
depict,C1,4
depiction,C1,4
deploy,C1,4
deployment,C2,5
deposit,B2,3
depraved,C2,5
depravity,C2,5
deprecate,C2,5
deprecatingly,C2,5
depressed,B1,2
depressing,B1,2
depression,B1,2
depressive,C2,5
deprivation,C2,5
deprive,B1,2
depth,B1,2
deputy,B2,3
derelict,C2,5
derision,C2,5
derisive,C2,5
derisively,C2,5
derive,B1,2
descend,B2,3
descendant,C1,4
descent,C1,4
describe,A1,0
description,A2,1
descriptive,B2,3
desert,C1,4
desertion,C1,4
deserve,B1,2
deserving,C2,5
design,B1,2
designate,C1,4
designation,C2,5
designer,B2,3
desirable,B2,3
desire,B2,3
desk,A1,0
desktop,B2,3
desolation,B2,3
despair,B1,2
desperate,B1,2
desperately,B2,3
desperation,B2,3
despise,B2,3
despite,B1,2
dessert,A2,1
destination,B1,2
destine,C2,5
destiny,B2,3
destroy,A2,1
destruction,B1,2
destructive,B1,2
detach,B2,3
detachment,B2,3
detail,A2,1
detailed,B2,3
detect,B2,3
detection,C1,4
detective,B1,2
detention,C1,4
deteriorate,C1,4
determination,B1,2
determine,B1,2
determined,B2,3
determiner,B2,3
deterrent,C2,5
detest,C1,4
detestable,C1,4
detract,C2,5
detriment,C1,4
detrimental,C1,4
detrimentally,C1,4
detritus,C1,4
devastate,B1,2
devastating,B1,2
develop,A2,1
developed,A2,1
developer,B2,3
developing,B2,3
development,B1,2
developmental,C1,4
deviant,C2,5
deviantly,C2,5
deviation,C2,5
device,B1,2
devil,B2,3
devise,B2,3
devote,B2,3
devoted,B2,3
devotee,C1,4
devotion,B1,2
diabetes,C1,4
diagnose,C1,4
diagnosis,B2,3
diagnostic,C2,5
diagram,B1,2
dial,B1,2
dialect,C2,5
dialog,B2,3
dialogue,B2,3
diameter,B1,2
diamond,A2,1
diaper,B1,2
diarrhea,B2,3
diarrhoea,B2,3
diary,A2,1
dice,C2,5
dictate,B1,2
dictator,B2,3
dictatorship,C2,5
dictionary,A1,0
did,A1,0
didactic,C2,5
die,A2,1
diet,A2,1
differ,B1,2
difference,A1,0
different,A1,0
differentiate,C1,4
differently,A2,1
difficult,A1,0
difficulty,A2,1
diffuse,C2,5
dig,B1,2
digest,B2,3
digger,C1,4
digital,B1,2
digital camera,A2,1
digitalisation,C1,4
digitalization,C1,4
digitalise,C1,4
digitalize,C1,4
dignified,C2,5
dignify,B2,3
dignity,B2,3
dilemma,B2,3
diligence,C2,5
diligent,C2,5
diligently,C2,5
dim,B2,3
dime,B2,3
dimension,B2,3
diminish,C2,5
dining room,A1,0
dining,B2,3
dinner,A1,0
dinosaur,A2,1
diocese,C2,5
dioxide,B1,2
dip,B2,3
diphtheria,B2,3
diploma,B2,3
diplomacy,C2,5
diplomat,B2,3
diplomatic,B2,3
direct,B1,2
direction,A2,1
directive,B2,3
directly,B1,2
director,A2,1
directory,B2,3
dirt,B1,2
dirty,A1,0
disability,B1,2
disable,B1,2
disabled,B1,2
disadvantage,A2,1
disadvantaged,C2,5
disagree,A2,1
disagreement,B1,2
disappear,A2,1
disappearance,B2,3
disappoint,B1,2
disappointed,A2,1
disappointing,A2,1
disappointment,B1,2
disapproval,B2,3
disapprove,B2,3
disassemble,C2,5
disaster,B1,2
disastrous,B1,2
disk jockey,B1,2
disc jockey,B1,2
disc,B1,2
discard,C1,4
discharge,B2,3
disciple,B2,3
discipline,B2,3
disclose,B2,3
disclosure,C1,4
disco,A2,1
discomfort,B1,2
disconnect,B2,3
discount,B1,2
discourage,B1,2
discourse,C1,4
discover,A2,1
discovery,B1,2
discredit,B2,3
discretion,C2,5
discriminate,B2,3
discrimination,B1,2
discuss,A1,0
discussion,A2,1
disdain,C1,4
disdainful,C2,5
disease,B1,2
disgrace,B2,3
disguise,B2,3
disgusting,B1,2
dish,A1,0
dishonest,A2,1
dishonesty,B2,3
dishwasher,B1,2
disillusion,B2,3
disillusionment,C1,4
disk,B1,2
dislike,B1,2
dislodge,C1,4
dismal,C1,4
dismally,C1,4
dismay,C1,4
dismiss,B2,3
dismissal,B2,3
disorder,B2,3
disorderly,B2,3
disorganized,B2,3
disorganised,B2,3
disparage,C2,5
disparagement,C2,5
disparaging,C2,5
disparagingly,C2,5
dispatch,C1,4
dispensable,C1,4
dispensary,C1,4
dispense,C1,4
dispersal,C2,5
disperse,C2,5
displace,B2,3
display,B1,2
displeasure,B2,3
disposal,B2,3
dispose,B2,3
disposition,B2,3
dispute,B2,3
disqualify,B2,3
disquieting,C1,4
disregard,B2,3
disrupt,B2,3
disruption,C1,4
dissatisfaction,B2,3
dissatisfied,B2,3
dissect,C1,4
dissection,C1,4
dissemble,C2,5
disseminate,C2,5
dissemination,C2,5
dissension,C2,5
dissertation,C2,5
dissident,B2,3
dissolution,C2,5
dissolve,B1,2
distance,B1,2
distant,B1,2
distill,C2,5
distillation,C2,5
distinct,B1,2
distinction,B1,2
distinctive,B2,3
distinctly,B1,2
distinguish,B1,2
distinguished,B2,3
distortion,B2,3
distract,B2,3
distraction,B2,3
distress,C1,4
distressing,B2,3
distribute,B1,2
distribution,B1,2
distributor,B2,3
district,B1,2
distrust,C2,5
disturb,A2,1
disturbance,B1,2
disturbing,C1,4
ditch,C2,5
dither,C1,4
dive,C2,5
diver,B1,2
diverge,C1,4
divergence,C1,4
divergent,C1,4
diverse,B1,2
diversion,B2,3
diversity,C1,4
divert,B2,3
divide,B1,2
divided,B2,3
divination,C2,5
divine,B1,2
diving,B1,2
division,B2,3
divorce,B2,3
divorced,B1,2
dizzy,A2,1
dj,B1,2
dna,B2,3
do,A1,0
do up,C2,5
do without,C2,5
doc,B1,2
docile,C1,4
docilely,C1,4
dock,B2,3
doctor,A1,0
dr,A1,0
dr.,A1,0
doctorate,C2,5
doctrine,B2,3
document,B1,2
documentary,B1,2
documentation,C1,4
dodge,C2,5
dodgy,C1,4
does,A1,0
dog,A1,0
doing,A1,0
dole out,C2,5
doll,A1,0
dollar,A1,0
dolphin,B1,2
domain,B2,3
domestic,B2,3
domestically,C1,4
domesticate,C1,4
domestication,C1,4
domesticity,C2,5
domicile,C2,5
dominant,C1,4
dominantly,C1,4
dominate,B2,3
domination,C1,4
donate,B2,3
donation,B2,3
done,A2,1
donkey,B2,3
donor,C1,4
doom,B2,3
door,A1,0
doorkeeper,B2,3
doorway,B2,3
dorm,B2,3
dormitory,B2,3
dose,B2,3
dot,B1,2
double,B2,3
doubly,B2,3
doubt,B2,3
doubtful,B2,3
dough,C1,4
dove,B2,3
down,B2,3
downfall,B2,3
download,B2,3
downsize,B2,3
downstairs,B1,2
downtown,A2,1
downward,B1,2
dowry,B2,3
doze,B1,2
dozen,B1,2
drabness,C2,5
draft,B1,2
draught,B2,3
drag,B1,2
dragon,C1,4
drain,B2,3
drama,A1,0
dramatic,B1,2
dramatically,B2,3
dramatist,C1,4
drapery,B2,3
drastic,C2,5
draw,A2,1
drawback,C1,4
drawer,A2,1
drawing,A2,1
dread,B2,3
dreadful,B2,3
dream,A2,1
dreamy,B2,3
dress,A2,1
dressed,A2,1
dribble,C2,5
drift,B2,3
drill,C1,4
drink,A1,0
drinkable,B2,3
drinking,B2,3
drip,C1,4
drive,C1,4
driver,A1,0
driving licence,A2,1
driver's license,A2,1
driving,C1,4
droop,B2,3
drop,A2,1
dropout,B2,3
drought,B2,3
drown,B1,2
drudgery,C2,5
drug,A2,1
drugstore,A2,1
drum,A1,0
drunk,B1,2
dry,A2,1
dual,C1,4
dubiously,C2,5
duck,A2,1
dude,B1,2
due,A2,1
duel,B2,3
dull,B1,2
dumb,B2,3
dump,B1,2
duplicate,B2,3
duplication,B2,3
durable,C1,4
duration,C1,4
during,A2,1
dust,A2,1
dustbin,B1,2
dusty,B1,2
dutch,B1,2
dutiful,C1,4
dutifully,C1,4
duty,B1,2
duty-free,B1,2
duvet,B1,2
dvd,A1,0
dwarf,C2,5
dwarfism,C2,5
dwelling,C1,4
dye,B2,3
dynamic,B2,3
dynamically,C1,4
dynamics,C1,4
dynasty,C2,5
each,A1,0
each other,A1,0
eager,B1,2
eagerly,B2,3
eagerness,B1,2
eagle,B2,3
ear,A1,0
earache,B1,2
early,A2,1
earn,A2,1
earnest,B1,2
earnings,B2,3
earring,A2,1
earth,A2,1
earthly,C2,5
earthquake,A2,1
ease,B2,3
easily,A2,1
east,A2,1
easter,B2,3
eastern,B1,2
eastward,B2,3
easy,A1,0
easygoing,B1,2
easy-going,B1,2
eat,A1,0
eat out,C2,5
eating,B2,3
ebb,C2,5
eccentric,C1,4
eccentrically,C1,4
eccentricity,C2,5
echo,C2,5
echolocate,C2,5
echolocation,C2,5
eclectic,C1,4
eclectically,C1,4
eco,B1,2
ecological,B1,2
ecologically,B2,3
ecologist,B2,3
ecology,B1,2
economic,B1,2
economical,B2,3
economics,B1,2
economist,B2,3
economize,C2,5
economise,C2,5
economy,B1,2
ecosystem,B1,2
ecotourism,C2,5
ecstasy,C1,4
ecstatic,C1,4
ecstatically,C1,4
edge,B1,2
edification,C2,5
edifice,C2,5
edify,C2,5
edit,B2,3
edition,B1,2
editor,A2,1
editorial,B2,3
educate,B1,2
educated,B2,3
education,A2,1
educational,A2,1
educator,B2,3
effect,A2,1
effective,B1,2
effectively,B2,3
effectiveness,B2,3
efficiency,B1,2
efficient,B1,2
efficiently,C1,4
effort,A2,1
effortless,C1,4
eg,B2,3
egalitarian,C2,5
egg,A1,0
ego,C1,4
egypt,B1,2
egyptian,B2,3
eight,A1,0
eighteen,A1,0
eighth,A2,1
eighty,A1,0
either,B1,2
eke out,C2,5
elaborate,C1,4
elaboration,C1,4
elastic,C1,4
elasticity,C2,5
elated,C2,5
elation,C2,5
elbow,B1,2
elderly,A2,1
elect,B2,3
election,B1,2
elective,B2,3
electoral,C1,4
electric,A2,1
electrical,B1,2
electrician,B2,3
electricity,B1,2
electrode,C2,5
electron,B1,2
electronic,B1,2
electronically,B2,3
electronics,B2,3
elegance,B2,3
elegant,B2,3
elegantly,B2,3
element,B1,2
elemental,B2,3
elementary,A1,0
elephant,A2,1
elephantine,C2,5
elevate,C1,4
elevation,C1,4
elevator,A2,1
eleven,A1,0
eleventh,A2,1
eligible,B2,3
eliminate,B1,2
elite,B2,3
elitist,C1,4
elongate,C1,4
eloquence,B2,3
eloquent,B2,3
else,A1,0
elsewhere,A2,1
elude,C1,4
elusive,C1,4
email,A2,1
e-mail,A2,1
embark,C1,4
embarrass,B1,2
embarrassed,B1,2
embarrassing,A2,1
embarrassment,B1,2
embassy,B2,3
embed,C2,5
embodiment,C2,5
embody,C2,5
embrace,B2,3
embryo,C1,4
emerge,B1,2
emergence,B2,3
emergency,A2,1
eminence,C2,5
eminent,C2,5
emission,B2,3
emit,B2,3
emolument,C2,5
emotion,B1,2
emotional,B1,2
emotionally,B1,2
emperor,B1,2
emphasis,B1,2
emphasise,B1,2
emphasize,B1,2
emphatically,B2,3
empire,B1,2
employ,B2,3
employee,B2,3
employer,B2,3
employment,B1,2
empower,C2,5
empty,A2,1
emulate,C2,5
emulation,C2,5
emulsification,C2,5
emulsifier,C2,5
emulsify,C2,5
enable,B1,2
enabler,C2,5
enclose,B1,2
encompass,C2,5
encounter,B2,3
encourage,A2,1
encouragement,B1,2
encouraging,B1,2
encumber,C2,5
encumbrance,C2,5
encyclopedia,B1,2
encyclopaedia,B1,2
end,A2,1
end up,C2,5
endanger,B1,2
endangered,A2,1
endeavor,C1,4
endeavour,C1,4
ending,A2,1
endless,B1,2
endlessly,B2,3
endorse,B2,3
endorsement,C1,4
endurance,B2,3
endure,B1,2
enduring,B2,3
enduringly,C2,5
enemy,B1,2
energetic,A2,1
energy,B2,3
enforce,B2,3
enforcement,B2,3
engage,B1,2
engaged,B1,2
engagement,B2,3
engender,C2,5
engine,B1,2
engineer,C1,4
engineering,B1,2
england,A1,0
english,A1,0
englishman,B1,2
engross,C1,4
engrossing,C1,4
engulf,B2,3
enhance,B2,3
enhanced,C1,4
enhancement,C2,5
enjoy,A1,0
enjoyable,B1,2
enjoyment,B1,2
enlarge,C1,4
enormous,A2,1
enormously,C1,4
enough,A2,1
enquiry,B1,2
enrich,B1,2
enroll,B2,3
enrol,B2,3
ensure,B1,2
entail,C1,4
enter,A2,1
enterprise,B2,3
enterprising,C1,4
entertain,B1,2
entertainer,B1,2
entertaining,B2,3
entertainment,A2,1
enthuse,C2,5
enthusiasm,B1,2
enthusiast,B1,2
enthusiastic,B1,2
enthusiastically,B2,3
entire,B1,2
entirely,B1,2
entirety,C2,5
entitle,B2,3
entitlement,C1,4
entity,B2,3
entrance,A2,1
entrepreneur,B2,3
entrepreneurship,C2,5
entrust,C2,5
entry,B1,2
envelope,A2,1
enviable,C1,4
environment,B2,3
environmental,B1,2
environmentalist,B1,2
environmentally,B2,3
environmentally friendly,B2,3
envisage,C2,5
envy,B2,3
ephemera,C2,5
ephemeral,C2,5
ephemerality,C2,5
epic,C2,5
episode,A2,1
